gml:id,gml:metaDataProperty,gml:description,gml:name,gml:boundedBy,gml:location,erl:identifier,erl:name,erl:mineralOccurrenceType,erl:commodity,erl:mineName,erl:geologicHistory,erl:hostGeologicUnit,erl:mineralDepositModel,erl:mineralOccurrenceShape,erl:explorationActivityType,erl:explorationActivityDuration,erl:explorationResult,erl:observationMethod,erl:positionalAccuracy,erl:source,erl:mineralOccurrenceType_uri,erl:representativeCommodity_uri,erl:mine_uri,erl:hostGeologicUnit_uri,erl:mineralDepositModel_uri,erl:representativeAge_uri,erl:representativeOlderAge_uri,erl:representativeYoungerAge_uri,erl:specification_uri,erl:shape
ga.erl.mineraloccurrenceview.333286,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333286,Bethanga,deposit,"Gold, Copper",Bethanga,Late Ordovician,,,,,,,method unknown,100 metres,,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333286,,,http://resource.geosciml.org/classifier/ics/ischart/UpperOrdovician,http://resource.geosciml.org/classifier/ics/ischart/UpperOrdovician,http://resource.geosciml.org/classifier/ics/ischart/UpperOrdovician,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333286,POINT (147.0912532067 -36.11538786941665)
ga.erl.mineraloccurrenceview.333287,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333287,Cadjebut,deposit,"Lead, Zinc, (Silver)",Cadjebut,Late Paleozoic,,,,,,,method unknown,10 metres,,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/lead,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333287,,,http://resource.geosciml.org/classifier/ics/ischart/Permian,http://resource.geosciml.org/classifier/ics/ischart/Devonian,http://resource.geosciml.org/classifier/ics/ischart/Permian,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333287,POINT (125.9680198754 -18.710840540389054)
ga.erl.mineraloccurrenceview.333288,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333288,Honeymoon,deposit,"Uranium, Uranium oxide",Honeymoon,Cenozoic,,,,,,,method unknown,50 metres,,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/uranium,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333288,,,http://resource.geosciml.org/classifier/ics/ischart/Cenozoic,http://resource.geosciml.org/classifier/ics/ischart/Cenozoic,http://resource.geosciml.org/classifier/ics/ischart/Cenozoic,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333288,POINT (140.6623645096 -31.740950444496217)
ga.erl.mineraloccurrenceview.333289,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333289,Hamersley Iron - Marandoo,deposit,"Iron, Iron ore",Hamersley Iron - Marandoo,Precambrian,,,,,,,method unknown,100 metres,Rio Tinto Limited,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/iron,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333289,,,http://resource.geosciml.org/classifier/ics/ischart/Precambrian,http://resource.geosciml.org/classifier/ics/ischart/Precambrian,http://resource.geosciml.org/classifier/ics/ischart/Precambrian,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333289,POINT (118.13859913130001 -22.63545579789717)
ga.erl.mineraloccurrenceview.333290,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333290,Mount Gunson,deposit,"Copper, Cobalt, (Silver)",Mount Gunson,Neoproterozoic,,,,,,,"State or NT agency supplied location, method unknown",10 metres,,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333290,,,http://resource.geosciml.org/classifier/ics/ischart/Neoproterozoic,http://resource.geosciml.org/classifier/ics/ischart/Neoproterozoic,http://resource.geosciml.org/classifier/ics/ischart/Neoproterozoic,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333290,POINT (137.17200499999998 -31.449941028641735)
ga.erl.mineraloccurrenceview.333291,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333291,New Occidental,deposit,"Gold, Copper",New Occidental,Early Devonian,,,,,,,"company supplied location, method unknown",500 metres,New Gold Incorporated,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333291,,,http://resource.geosciml.org/classifier/ics/ischart/LowerDevonian,http://resource.geosciml.org/classifier/ics/ischart/LowerDevonian,http://resource.geosciml.org/classifier/ics/ischart/LowerDevonian,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333291,POINT (145.864 -31.540300028783307)
ga.erl.mineraloccurrenceview.333292,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333292,Palmer River,deposit,Gold,Palmer River,Cenozoic,,,,,,,method unknown,250 metres,,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333292,,,http://resource.geosciml.org/classifier/ics/ischart/Cenozoic,http://resource.geosciml.org/classifier/ics/ischart/Cenozoic,http://resource.geosciml.org/classifier/ics/ischart/Cenozoic,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333292,POINT (143.466504377 -15.877115193283235)
ga.erl.mineraloccurrenceview.333293,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333293,Pamela,deposit,Uranium,Pamela,Carboniferous,,,,,,,method unknown,2000 metres,,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/uranium,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333293,,,http://resource.geosciml.org/classifier/ics/ischart/Carboniferous,http://resource.geosciml.org/classifier/ics/ischart/Carboniferous,http://resource.geosciml.org/classifier/ics/ischart/Carboniferous,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333293,POINT (133.92000554769996 -23.877110352236894)
ga.erl.mineraloccurrenceview.333294,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333294,Randalls,deposit,Gold,Randalls,Archean,,,,,,,"State or NT agency supplied location, method unknown",500 metres,Silver Lake Resources Limited,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333294,,,http://resource.geosciml.org/classifier/ics/ischart/Archean,http://resource.geosciml.org/classifier/ics/ischart/Archean,http://resource.geosciml.org/classifier/ics/ischart/Archean,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333294,POINT (122.21230000000001 -31.045200028002704)
ga.erl.mineraloccurrenceview.333295,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333295,Robe River,deposit,Iron,Robe River,Cenozoic,,,,,,,method unknown,2000 metres,,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/iron,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333295,,,http://resource.geosciml.org/classifier/ics/ischart/Cenozoic,http://resource.geosciml.org/classifier/ics/ischart/Cenozoic,http://resource.geosciml.org/classifier/ics/ischart/Cenozoic,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333295,POINT (116.500041376 -21.714372800510837)
