gml:id,gml:metaDataProperty,gml:description,gml:name,gml:boundedBy,gml:location,erl:identifier,erl:name,erl:status,erl:owner,erl:startDate,erl:endDate,erl:observationMethod,erl:positionalAccuracy,erl:source,erl:status_uri,erl:specification_uri,erl:shape
ga.erl.mineview.333286,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333286,Bethanga,historic mine,,,,method unknown,100 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333286,POINT (147.0912532067 -36.11538786941665)
ga.erl.mineview.333287,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333287,Cadjebut,historic mine,,,,method unknown,10 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333287,POINT (125.9680198754 -18.710840540389054)
ga.erl.mineview.333288,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333288,Honeymoon,care and maintenance,,,,method unknown,50 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/care-and-maintenance,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333288,POINT (140.6623645096 -31.740950444496217)
ga.erl.mineview.333289,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333289,Hamersley Iron - Marandoo,operating mine,Rio Tinto Limited,,,method unknown,100 metres,http://www.riotinto.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333289,POINT (118.13859913130001 -22.63545579789717)
ga.erl.mineview.333290,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333290,Mount Gunson,historic mine,,,,"State or NT agency supplied location, method unknown",10 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333290,POINT (137.17200499999998 -31.449941028641735)
ga.erl.mineview.333291,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333291,New Occidental,operating mine,New Gold Incorporated,,,"company supplied location, method unknown",500 metres,http://www.newgold.com/,http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333291,POINT (145.864 -31.540300028783307)
ga.erl.mineview.333292,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333292,Palmer River,historic mine,,,,method unknown,250 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333292,POINT (143.466504377 -15.877115193283235)
ga.erl.mineview.333293,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333293,Pamela,mineral deposit,,,,method unknown,2000 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333293,POINT (133.92000554769996 -23.877110352236894)
ga.erl.mineview.333294,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333294,Randalls,historic mine,Silver Lake Resources Limited,,,"State or NT agency supplied location, method unknown",500 metres,http://www.silverlakeresources.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333294,POINT (122.21230000000001 -31.045200028002704)
ga.erl.mineview.333295,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333295,Robe River,historic mine,,,,method unknown,2000 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333295,POINT (116.500041376 -21.714372800510837)
